url,address,neighborhood,price,rooms,baths,none
https://www.renthop.com/listings/40-parker-hill-ave/9/57775727,"40 Parker Hill Ave, Apt 9","Mission Hill, Boston","$2,650",2_Bed,1_Bath,
https://www.renthop.com/listings/77-marion-st/na/58339005,77 Marion St,"Coolidge Corner, Brookline","$4,917",2_Bed,2_Bath,
https://www.renthop.com/listings/533-western-ave/507/58338284,"533 Western Ave., Apt 507","North Allston, Allston, Boston","$2,299",Studio,1_Bath,
https://www.renthop.com/listings/348-harrison-ave/342/58338114,"348 Harrison Ave., Apt 342","Shawmut, South End, Boston","$6,516",3_Bed,2.5_Bath,
https://www.renthop.com/listings/870-e-5th-street/na/19430631,870 E 5th Street,"City Point, South Boston, Boston","$1,325",Room,2_Bath,
https://www.renthop.com/listings/348-harrison-ave/ph71/58338113,"348 Harrison Ave., Apt PH71","Shawmut, South End, Boston","$6,171",3_Bed,2_Bath,
https://www.renthop.com/listings/348-harrison-ave/ph71/58337984,"348 Harrison Ave., Apt PH71","Shawmut, South End, Boston","$6,171",3_Bed,2_Bath,
https://www.renthop.com/listings/348-harrison-ave/1165/58338297,"348 Harrison Ave., Apt 1165","Shawmut, South End, Boston","$6,064",3_Bed,2_Bath,
https://www.renthop.com/listings/16-elmer-street/central-square-harvard-square-cambridgeport-area-2-bedroom-15-bathroom-apartment/58339350,"16 Elmer Street, Apt CENTRAL S...","Riverside, Cambridge","$3,100",2_Bed,1_Bath,
https://www.renthop.com/listings/273-putnam-ave/na/58336488,273 Putnam Ave,"Riverside, Cambridge","$2,500",1_Bed,1_Bath,
https://www.renthop.com/listings/348-harrison-ave/1133/58338296,"348 Harrison Ave., Apt 1133","Shawmut, South End, Boston","$4,615",2_Bed,2_Bath,
https://www.renthop.com/listings/1267-hancock-st/2/58301612,"1267 Hancock Street, Apt 2","Quincy Center, Quincy","$1,100",Room,1_Bath,
https://www.renthop.com/listings/40-parker-hill-ave/16/57755235,"40 Parker Hill Ave, Apt 16","Mission Hill, Boston","$2,650",2_Bed,1_Bath,
https://www.renthop.com/listings/40-parker-hill-ave/11/57755205,"40 Parker Hill Ave, Apt 11","Mission Hill, Boston","$2,450",2_Bed,1_Bath,
https://www.renthop.com/listings/1185-boylston-street/30/57830988,"1185 Boylston Street, Apt 30","West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,850",Studio,1_Bath,
https://www.renthop.com/listings/1191-boylston-street/25/57755188,"1191 Boylston Street, Apt 25","West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,795",Studio,1_Bath,
https://www.renthop.com/listings/62-boylston-street/217/58339839,"62 Boylston Street, Apt 217","Chinatown - Leather District, Boston","$2,050",Studio,1_Bath,
https://www.renthop.com/listings/1191-boylston-street/42/57755191,"1191 Boylston Street, Apt 42","West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,765",Studio,1_Bath,
https://www.renthop.com/listings/1191-boylston-street/39/57741486,"1191 Boylston Street, Apt 39","West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,790",Studio,1_Bath,
https://www.renthop.com/listings/5-9-trenton-street/2/57821664,"5-9 Trenton Street, Apt 2","Eagle Hill, East Boston, Boston","$2,775",2_Bed,1_Bath,
https://www.renthop.com/listings/5-9-trenton-street/5/57821663,"5-9 Trenton Street, Apt 5","Eagle Hill, East Boston, Boston","$2,800",2_Bed,1_Bath,
https://www.renthop.com/listings/533-western-ave/507/58338284,"533 Western Ave., Apt 507","North Allston, Allston, Boston","$2,299",Studio,1_Bath,
https://www.renthop.com/listings/348-harrison-ave/342/58338114,"348 Harrison Ave., Apt 342","Shawmut, South End, Boston","$6,516",3_Bed,2.5_Bath,
https://www.renthop.com/listings/870-e-5th-street/na/19430631,870 E 5th Street,"City Point, South Boston, Boston","$1,325",Room,2_Bath,
https://www.renthop.com/listings/348-harrison-ave/ph71/58338113,"348 Harrison Ave., Apt PH71","Shawmut, South End, Boston","$6,171",3_Bed,2_Bath,
https://www.renthop.com/listings/348-harrison-ave/ph71/58337984,"348 Harrison Ave., Apt PH71","Shawmut, South End, Boston","$6,171",3_Bed,2_Bath,
https://www.renthop.com/listings/348-harrison-ave/1165/58338297,"348 Harrison Ave., Apt 1165","Shawmut, South End, Boston","$6,064",3_Bed,2_Bath,
https://www.renthop.com/listings/16-elmer-street/central-square-harvard-square-cambridgeport-area-2-bedroom-15-bathroom-apartment/58339350,"16 Elmer Street, Apt CENTRAL S...","Riverside, Cambridge","$3,100",2_Bed,1_Bath,
https://www.renthop.com/listings/19-lothrop-street-apt-2-bs/apt-2-bs/58339402,"19 Lothrop Street Apt# 2-bs, A...","North Allston, Allston, Boston","$2,600",3_Bed,1_Bath,
https://www.renthop.com/listings/273-putnam-ave/na/58336488,273 Putnam Ave,"Riverside, Cambridge","$2,500",1_Bed,1_Bath,
https://www.renthop.com/listings/348-harrison-ave/1133/58338296,"348 Harrison Ave., Apt 1133","Shawmut, South End, Boston","$4,615",2_Bed,2_Bath,
https://www.renthop.com/listings/1267-hancock-st/2/58301612,"1267 Hancock Street, Apt 2","Quincy Center, Quincy","$1,100",Room,1_Bath,
https://www.renthop.com/listings/10-vinal-street/3sm/58093445,"10 Vinal Street, Apt 3SM","Commonwealth, Brighton, Boston","$1,800",1_Bed,1_Bath,
https://www.renthop.com/listings/57-pleasant-street/na/19544655,57 Pleasant Street,"Uphams Corner - Jones Hill, Dorchester, Boston","$1,300",Room,2_Bath,
https://www.renthop.com/listings/376-commonwealth-ave/301/58338213,"376 Commonwealth Ave., Apt 301...","Back Bay West, Back Bay, Boston","$3,600",2_Bed,1_Bath,
https://www.renthop.com/listings/5-9-trenton-street/6/57821593,"5-9 Trenton Street, Apt 6","Eagle Hill, East Boston, Boston","$2,800",2_Bed,1_Bath,
https://www.renthop.com/listings/40-parker-hill-ave/13/57755203,"40 Parker Hill Ave, Apt 13","Mission Hill, Boston","$2,650",2_Bed,1_Bath,
https://www.renthop.com/listings/1185-boylston-street/5/57830987,"1185 Boylston Street, Apt 5","West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,875",Studio,1_Bath,
https://www.renthop.com/listings/62-boylston-street-boston/m19/58253053,"62 Boylston Street, Apt M19","Chinatown - Leather District, Boston","$2,100",Studio,1_Bath,
https://www.renthop.com/listings/348-harrison-ave/ph71/58338113,"348 Harrison Ave., Apt PH71","Shawmut, South End, Boston","$6,171",3_Bed,2_Bath,
https://www.renthop.com/listings/348-harrison-ave/ph71/58337984,"348 Harrison Ave., Apt PH71","Shawmut, South End, Boston","$6,171",3_Bed,2_Bath,
https://www.renthop.com/listings/348-harrison-ave/1165/58338297,"348 Harrison Ave., Apt 1165","Shawmut, South End, Boston","$6,064",3_Bed,2_Bath,
https://www.renthop.com/listings/16-elmer-street/central-square-harvard-square-cambridgeport-area-2-bedroom-15-bathroom-apartment/58339350,"16 Elmer Street, Apt CENTRAL S...","Riverside, Cambridge","$3,100",2_Bed,1_Bath,
https://www.renthop.com/listings/19-lothrop-street-apt-2-bs/apt-2-bs/58339402,"19 Lothrop Street Apt# 2-bs, A...","North Allston, Allston, Boston","$2,600",3_Bed,1_Bath,
https://www.renthop.com/listings/273-putnam-ave/na/58336488,273 Putnam Ave,"Riverside, Cambridge","$2,500",1_Bed,1_Bath,
https://www.renthop.com/listings/348-harrison-ave/1133/58338296,"348 Harrison Ave., Apt 1133","Shawmut, South End, Boston","$4,615",_,2_Bed,2_Bath
https://www.renthop.com/listings/1267-hancock-st/2/58301612,"1267 Hancock Street, Apt 2","Quincy Center, Quincy","$1,100",Room,1_Bath,
https://www.renthop.com/listings/348-harrison-ave/629/58338334,"348 Harrison Ave., Apt 629","Shawmut, South End, Boston","$2,584",Studio,1_Bath,
https://www.renthop.com/listings/385-dorchester-street/c8/57654695,"385 Dorchester Street, Apt C8","Columbus Park - Andrew Square, South Boston, Boston","$2,500",2_Bed,1_Bath,
https://www.renthop.com/listings/47-west-cedar-street/5/57830972,"47 West Cedar Street, Apt 5","Beacon Hill, Boston","$2,250",Studio,1_Bath,
https://www.renthop.com/listings/6-chauncy-st/17/58338242,"6 Chauncy St., Apt 17","Neighborhood Nine, Cambridge","$4,850",4_Bed,2_Bath,
